"price","host_is_superhost","neighborhood","latitude","longitude","property_type","accommodates","bedrooms","beds","cleaning_fee","minimum_nights","availability_365","review_scores_rating","cancellation_policy"
2000,"False","Brooklyn",40.69723,-73.99268,"Appartment",8,3,3,200,1,34,93,"strict"
50,"False","Manhattan",40.72912,-73.98057,"Appartment",2,1,1,0,1,0,60,"moderate"
85,"True","Brooklyn",40.67832,-73.97243,"House",2,1,1,0,1,221,98,"flexible"
65,"False","Brooklyn",40.70032,-73.9383,"Appartment",1,1,1,10,5,345,86,"strict"
135,"True","Brooklyn",40.68233,-73.97261,"House",4,1,1,80,3,177,98,"moderate"
98,"True","Brooklyn",40.68634,-73.966,"House",3,1,2,75,7,364,89,"strict"
100,"False","Brooklyn",40.70984,-73.95775,"Appartment",2,1,1,18,5,0,81,"moderate"
105,"False","Brooklyn",40.70093,-73.92609,"Appartment",4,1,2,75,3,0,89,"strict"
140,"False","Manhattan",40.79764,-73.96177,"Appartment",2,1,1,40,30,282,93,"moderate"
89,"False","Manhattan",40.82803,-73.94731,"Appartment",1,1,0,30,1,365,100,"strict"
85,"True","Manhattan",40.74008,-74.00271,"Appartment",2,1,1,50,7,364,99,"strict"
125,"False","Brooklyn",40.68413,-73.92357,"Appartment",3,1,3,85,7,365,92,"strict"
175,"False","Brooklyn",40.67967,-74.00154,"Appartment",3,2,0,80,2,364,94,"strict"
200,"False","Manhattan",40.82748,-73.95069,"House",6,2,2,0,28,312,95,"strict"
500,"False","Manhattan",40.73096,-74.00319,"House",5,3,3,200,5,269,88,"strict"
101,"True","Brooklyn",40.71332,-73.94177,"Appartment",2,1,1,90,3,180,96,"strict"
220,"False","Brooklyn",40.66941,-73.98109,"Appartment",9,4,6,250,30,365,96,"strict"
125,"False","Brooklyn",40.68373,-73.92377,"Appartment",6,2,4,85,5,365,92,"strict"
80,"False","Brooklyn",40.71459,-73.94844,"Appartment",4,1,2,0,30,0,92,"strict"
100,"False","Manhattan",40.8104,-73.94309,"Appartment",2,1,1,60,2,365,95,"strict"
100,"False","Brooklyn",40.68288,-73.9633,"Appartment",2,1,1,0,4,365,96,"moderate"
200,"False","Brooklyn",40.68157,-73.98989,"House",6,3,3,100,30,64,98,"strict"
59,"False","Manhattan",40.75527,-73.99291,"Appartment",1,1,1,0,2,348,91,"strict"
125,"True","Brooklyn",40.68698,-73.96572,"House",3,1,2,75,2,365,96,"strict"
